Estas personas no formaron parejas por ser menores de 10 años
ELIAS ROJAS, 9, M, A, SAN PABLO
ADAN CESPEDES, 70, M, F, PARRITA
JOSE ANTONIO MOREIRA, 60, M, F, PARRITA
SOCORRO BARQUERO, 59, M, F, PARRITA
ADAN CESPEDES, 70, M, F, PARRITA
JOSE ANTONIO MOREIRA, 60, M, F, PARRITA
DAVID CHAVES, 13, M, F, MORAVIA
DAVID CHAVES, 13, M, F, MORAVIA
DAVID CHAVES, 13, M, F, MORAVIA
DAVID CHAVES, 13, M, F, MORAVIA
DAVID CHAVES, 13, M, F, MORAVIA
DAVID CHAVES, 13, M, F, MORAVIA
DAVID CHAVES, 13, M, F, MORAVIA
DAVID CHAVES, 13, M, F, MORAVIA
DAVID CHAVES, 13, M, F, MORAVIA
DAVID CHAVES, 13, M, F, MORAVIA
REGINA CAMPOS, 15, F, M, COTO BRUS
REGINA CAMPOS, 15, F, M, COTO BRUS
REGINA CAMPOS, 15, F, M, COTO BRUS
REGINA CAMPOS, 15, F, M, COTO BRUS
REGINA CAMPOS, 15, F, M, COTO BRUS
REGINA CAMPOS, 15, F, M, COTO BRUS
REGINA CAMPOS, 15, F, M, COTO BRUS
REGINA CAMPOS, 15, F, M, COTO BRUS
REGINA CAMPOS, 15, F, M, COTO BRUS
REGINA CAMPOS, 15, F, M, COTO BRUS
LUZMILDA CERDAS, 31, F, M, COTO BRUS
ORFILIA RIOS, 22, F, M, COTO BRUS
AURELIA PIEDRA, 53, F, M, COTO BRUS
LUZMILDA CERDAS, 31, F, M, COTO BRUS
ORFILIA RIOS, 22, F, M, COTO BRUS
AURELIA PIEDRA, 53, F, M, COTO BRUS
LUZMILDA CERDAS, 31, F, M, COTO BRUS
ORFILIA RIOS, 22, F, M, COTO BRUS
AURELIA PIEDRA, 53, F, M, COTO BRUS
LUZMILDA CERDAS, 31, F, M, COTO BRUS
CARMEN LORIA, 23, F, M, LA UNION
GUADALUPE MONGE, 64, F, M, LA UNION
EMELIDA GUTIERREZ, 84, F, M, LA UNION
CARMEN LORIA, 23, F, M, LA UNION
GUADALUPE MONGE, 64, F, M, LA UNION
EMELIDA GUTIERREZ, 84, F, M, LA UNION
CARMEN LORIA, 23, F, M, LA UNION
GUADALUPE MONGE, 64, F, M, LA UNION
EMELIDA GUTIERREZ, 84, F, M, LA UNION
CARMEN LORIA, 23, F, M, LA UNION
GUADALUPE MONGE, 64, F, M, LA UNION
EMELIDA GUTIERREZ, 84, F, M, LA UNION
CARMEN LORIA, 23, F, M, LA UNION
GUADALUPE MONGE, 64, F, M, LA UNION
EMELIDA GUTIERREZ, 84, F, M, LA UNION
CARMEN LORIA, 23, F, M, LA UNION
GUADALUPE MONGE, 64, F, M, LA UNION
EMELIDA GUTIERREZ, 84, F, M, LA UNION
CARMEN LORIA, 23, F, M, LA UNION
GUADALUPE MONGE, 64, F, M, LA UNION
ELSA GODINEZ, 67, F, M, ATENAS
ELSA GODINEZ, 67, F, M, ATENAS
ELSA GODINEZ, 67, F, M, ATENAS
ELSA GODINEZ, 67, F, M, ATENAS
ELSA GODINEZ, 67, F, M, ATENAS
ELSA GODINEZ, 67, F, M, ATENAS
ELSA GODINEZ, 67, F, M, ATENAS
ELSA GODINEZ, 67, F, M, ATENAS
ELSA GODINEZ, 67, F, M, ATENAS
ELSA GODINEZ, 67, F, M, ATENAS
EVANGELINA DEL SOCORRO ALFARO, 19, F, M, OSA
PIEDADES GUZMAN, 22, F, M, OSA
EVANGELINA DEL SOCORRO ALFARO, 19, F, M, OSA
PIEDADES GUZMAN, 22, F, M, OSA
EVANGELINA DEL SOCORRO ALFARO, 19, F, M, OSA
PIEDADES GUZMAN, 22, F, M, OSA
EVANGELINA DEL SOCORRO ALFARO, 19, F, M, OSA
PIEDADES GUZMAN, 22, F, M, OSA
EVANGELINA DEL SOCORRO ALFARO, 19, F, M, OSA
PIEDADES GUZMAN, 22, F, M, OSA
SERGIO SALAZAR, 29, M, F, GUACIMO
SERGIO SALAZAR, 29, M, F, GUACIMO
SERGIO SALAZAR, 29, M, F, GUACIMO
SERGIO SALAZAR, 29, M, F, GUACIMO
SERGIO SALAZAR, 29, M, F, GUACIMO
SERGIO SALAZAR, 29, M, F, GUACIMO
SERGIO SALAZAR, 29, M, F, GUACIMO
SERGIO SALAZAR, 29, M, F, GUACIMO
SERGIO SALAZAR, 29, M, F, GUACIMO
SERGIO SALAZAR, 29, M, F, GUACIMO
OFELIA MADRIGAL, 70, F, M, SIQUIRRES
PEREGRINA JIMENEZ, 31, F, M, SIQUIRRES
OFELIA MADRIGAL, 70, F, M, SIQUIRRES
PEREGRINA JIMENEZ, 31, F, M, SIQUIRRES
OFELIA MADRIGAL, 70, F, M, SIQUIRRES
PEREGRINA JIMENEZ, 31, F, M, SIQUIRRES
OFELIA MADRIGAL, 70, F, M, SIQUIRRES
PEREGRINA JIMENEZ, 31, F, M, SIQUIRRES
OFELIA MADRIGAL, 70, F, M, SIQUIRRES
PEREGRINA JIMENEZ, 31, F, M, SIQUIRRES
MANUEL ANTONIO ANGULO, 79, M, F, DOTA
MANUEL ANTONIO ANGULO, 79, M, F, DOTA
MANUEL ANTONIO ANGULO, 79, M, F, DOTA
MANUEL ANTONIO ANGULO, 79, M, F, DOTA
MANUEL ANTONIO ANGULO, 79, M, F, DOTA
MANUEL ANTONIO ANGULO, 79, M, F, DOTA
MANUEL ANTONIO ANGULO, 79, M, F, DOTA
MANUEL ANTONIO ANGULO, 79, M, F, DOTA
MANUEL ANTONIO ANGULO, 79, M, F, DOTA
MANUEL ANTONIO ANGULO, 79, M, F, DOTA
LUIS MARCHINI, 23, M, F, MEXICO
LUIS MARCHINI, 23, M, F, MEXICO
LUIS MARCHINI, 23, M, F, MEXICO
LUIS MARCHINI, 23, M, F, MEXICO
LUIS MARCHINI, 23, M, F, MEXICO
LUIS MARCHINI, 23, M, F, MEXICO
LUIS MARCHINI, 23, M, F, MEXICO
LUIS MARCHINI, 23, M, F, MEXICO
LUIS MARCHINI, 23, M, F, MEXICO
LUIS MARCHINI, 23, M, F, MEXICO
VIRGINIA BORGE, 67, F, M, SANTO DOMINGO
MARIA LUISA RODRIGUEZ, 27, F, M, SANTO DOMINGO
VIRGINIA BORGE, 67, F, M, SANTO DOMINGO
MARIA LUISA RODRIGUEZ, 27, F, M, SANTO DOMINGO
VIRGINIA BORGE, 67, F, M, SANTO DOMINGO
MARIA LUISA RODRIGUEZ, 27, F, M, SANTO DOMINGO
VIRGINIA BORGE, 67, F, M, SANTO DOMINGO
MARIA LUISA RODRIGUEZ, 27, F, M, SANTO DOMINGO
VIRGINIA BORGE, 67, F, M, SANTO DOMINGO
MARIA LUISA RODRIGUEZ, 27, F, M, SANTO DOMINGO
LUZ JIMENEZ, 41, F, M, OROTINA
LUZ JIMENEZ, 41, F, M, OROTINA
LUZ JIMENEZ, 41, F, M, OROTINA
LUZ JIMENEZ, 41, F, M, OROTINA
LUZ JIMENEZ, 41, F, M, OROTINA
LUZ JIMENEZ, 41, F, M, OROTINA
LUZ JIMENEZ, 41, F, M, OROTINA
LUZ JIMENEZ, 41, F, M, OROTINA
LUZ JIMENEZ, 41, F, M, OROTINA
LUZ JIMENEZ, 41, F, M, OROTINA
RAMON MASIS, 12, M, F, CORREDORES
RAMON MASIS, 12, M, F, CORREDORES
RAMON MASIS, 12, M, F, CORREDORES
RAMON MASIS, 12, M, F, CORREDORES
RAMON MASIS, 12, M, F, CORREDORES
RAMON MASIS, 12, M, F, CORREDORES
RAMON MASIS, 12, M, F, CORREDORES
RAMON MASIS, 12, M, F, CORREDORES
RAMON MASIS, 12, M, F, CORREDORES
RAMON MASIS, 12, M, F, CORREDORES
RUBEN FONSECA, 67, M, F, SANTA BARBARA
RUBEN FONSECA, 67, M, F, SANTA BARBARA
RUBEN FONSECA, 67, M, F, SANTA BARBARA
RUBEN FONSECA, 67, M, F, SANTA BARBARA
RUBEN FONSECA, 67, M, F, SANTA BARBARA
RUBEN FONSECA, 67, M, F, SANTA BARBARA
RUBEN FONSECA, 67, M, F, SANTA BARBARA
RUBEN FONSECA, 67, M, F, SANTA BARBARA
RUBEN FONSECA, 67, M, F, SANTA BARBARA
RUBEN FONSECA, 67, M, F, SANTA BARBARA
CARLOS MONGE, 53, M, F, MATINA
CARLOS MONGE, 53, M, F, MATINA
CARLOS MONGE, 53, M, F, MATINA
CARLOS MONGE, 53, M, F, MATINA
CARLOS MONGE, 53, M, F, MATINA
CARLOS MONGE, 53, M, F, MATINA
CARLOS MONGE, 53, M, F, MATINA
CARLOS MONGE, 53, M, F, MATINA
CARLOS MONGE, 53, M, F, MATINA
CARLOS MONGE, 53, M, F, MATINA
GONZALO GUERRERO, 44, M, F, QUEPOS
GONZALO GUERRERO, 44, M, F, QUEPOS
GONZALO GUERRERO, 44, M, F, QUEPOS
GONZALO GUERRERO, 44, M, F, QUEPOS
GONZALO GUERRERO, 44, M, F, QUEPOS
GONZALO GUERRERO, 44, M, F, QUEPOS
GONZALO GUERRERO, 44, M, F, QUEPOS
GONZALO GUERRERO, 44, M, F, QUEPOS
GONZALO GUERRERO, 44, M, F, QUEPOS
GONZALO GUERRERO, 44, M, F, QUEPOS
HERNAN OCAMPO, 88, M, F, SAN CARLOS
VICTOR MANUEL SEGURA, 88, M, F, SAN CARLOS
HERNAN OCAMPO, 88, M, F, SAN CARLOS
VICTOR MANUEL SEGURA, 88, M, F, SAN CARLOS
HERNAN OCAMPO, 88, M, F, SAN CARLOS
VICTOR MANUEL SEGURA, 88, M, F, SAN CARLOS
HERNAN OCAMPO, 88, M, F, SAN CARLOS
VICTOR MANUEL SEGURA, 88, M, F, SAN CARLOS
HERNAN OCAMPO, 88, M, F, SAN CARLOS
VICTOR MANUEL SEGURA, 88, M, F, SAN CARLOS
HERNAN OCAMPO, 88, M, F, SAN CARLOS
VICTOR MANUEL SEGURA, 88, M, F, SAN CARLOS
HERNAN OCAMPO, 88, M, F, SAN CARLOS
VICTOR MANUEL SEGURA, 88, M, F, SAN CARLOS
HERNAN OCAMPO, 88, M, F, SAN CARLOS
VICTOR MANUEL SEGURA, 88, M, F, SAN CARLOS
HERNAN OCAMPO, 88, M, F, SAN CARLOS
VICTOR MANUEL SEGURA, 88, M, F, SAN CARLOS
HERNAN OCAMPO, 88, M, F, SAN CARLOS
VICTOR MANUEL SEGURA, 88, M, F, SAN CARLOS
